Feature,Count,Cardinality,Min,Quart1,Mean,Median,Quart3,Max,Standard Dev
id,13564,90,1.0,15.0,42.0,39.0,66.0,90.0,29.0
freq_min,13564,35,315.0,315.0,335.0,315.0,336.0,2940.0,58.0
freq_max,13564,136,315.0,945.0,1708.0,1722.0,2352.0,3192.0,787.0
freq_std,13564,11367,0.0,160.215877069,361.0,329.0,525.596682223,1233.64231445,218.0
mfcc_power,13564,12067,19.0615678904,87.8415902005,122.0,125.0,152.673088169,272.455888147,42.0
mfcc_mean,13564,12067,-1.55485467014,14.3312248064,17.0,17.0,20.7386610232,28.3972034358,5.0
mfcc_std,13564,12067,17.3736425184,50.1320164607,55.0,56.0,60.8612888693,76.1335332984,8.0
mfcc_delta_mean,13564,12067,-2.78638089508,-0.412205652996,-0.0,-0.0,0.374934842949,2.55263189219,1.0
mfcc_delta_std,13564,12067,-1.02895808063,-0.10033433618,-0.0,-0.0,0.08120384564,1.77887324317,0.0
min_zero_crossing_rate,13564,82,0.0,0.00634765625,0.0,0.0,0.00927734375,0.32861328125,0.0
result,13564,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0
