id,freq_min,freq_max,freq_std,mfcc_power,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,min_zero_crossing_rate,result
1,315,1512,234.97489227574931,166.33457219520508,18.136822992388442,58.047418871507936,-0.84275352398080927,-0.076194868849833036,0.00439453125,1
1,315,2646,433.44488592646064,158.31426142621964,18.160854638060776,56.848652723586731,-0.41706076848878676,-0.043094098880576012,0.00439453125,1
1,315,3129,600.83689051877002,127.21286225942248,18.111746663413072,55.648389114889682,0.93076706845202695,0.20942026182341647,0.00341796875,1
1,315,3129,585.63273474081006,126.90423807966947,17.542859053017953,55.636976213058894,0.71814158851153787,0.36796479988291103,0.0048828125,1
1,315,3129,856.78891799555856,152.15693919794737,17.009239610288187,58.017198162895568,0.19553141618222622,0.15220152898717915,0.00341796875,1
1,315,1470,268.9521332876912,140.7092385361307,19.701511051122914,54.396324358458934,-0.2521724523888757,-0.32578397163161765,0.0048828125,1
1,315,2877,586.68538163501353,170.44965794831802,19.333858069644723,56.020761452968102,1.4191627720475537,0.26209988856305805,0.00341796875,1
1,336,2793,610.87393531214764,129.07025817788758,16.836812948033735,53.976412405112711,0.10739401198297596,0.098896679578107688,0.0048828125,1
1,315,2877,728.58726047185564,152.64453926710456,19.720301878465847,57.790684731012789,0.20561370870310483,0.10754022236391218,0.00341796875,1
1,315,1953,535.4262914813462,113.09716191807237,16.608673230713251,53.36265636557706,0.79864733501298535,0.084083448164099767,0.00537109375,1
1,336,1596,330.5897760064579,92.507489092311005,18.059109609827466,54.35327382215489,0.25068659534281879,0.17198184213859485,0.0078125,1
1,315,2793,802.01702473106991,127.7931301088481,17.527782820574199,55.350306306036103,-0.69008097243123778,0.11573494418648203,0.0048828125,1
1,336,3108,923.54233594404946,122.50664935592536,15.348174962170297,54.127676453255759,-0.65450884773254214,-0.056732492226312957,0.0078125,1
1,315,1596,303.07979147412652,138.57210666252971,21.063261765059384,56.083114111790572,-0.16277314466083101,-0.16911803913092999,0.00390625,1
1,399,1701,307.99875709976493,139.73184703332043,18.088350934849736,56.633736165282777,-0.083595373082786473,-0.14210658696269196,0.00439453125,1
1,336,2877,803.60266767849885,142.76422526184049,19.175634525965215,57.807843499292048,0.60015445854831928,0.085959338979688216,0.00732421875,1
